Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Mass	EC number	Pathway	Function [CC]	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (molecular function)	Subcellular location [CC]
Q88WZ5	MURC_LACPL	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC lp_1462	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	436	lp_1462	48751	6.3.2.8	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00046}.	FUNCTION: Cell wall formation. {ECO:0000255|HAMAP-Rule:MF_00046}.	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008763; GO:0009252; GO:0051301; GO:0071555	ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00046}.
Q88X05	PRSA1_LACPL	Foldase protein PrsA 1 (EC 5.2.1.8)	prsA1 prtM1 lp_1452	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	298	lp_1452	32619	5.2.1.8		FUNCTION: Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins. {ECO:0000250}.	protein folding [GO:0006457]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]	GO:0003755; GO:0005886; GO:0006457	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.
Q88X60	CYSC_LACPL	Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)	cysC lp_1379	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	207	lp_1379	23130	2.7.1.25	PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 2/3. {ECO:0000255|HAMAP-Rule:MF_00065}.	FUNCTION: Catalyzes the synthesis of activated sulfate. {ECO:0000255|HAMAP-Rule:MF_00065}.	hydrogen sulfide biosynthetic process [GO:0070814]; phosphorylation [GO:0016310]; sulfate assimilation [GO:0000103]		adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; hydrogen sulfide biosynthetic process [GO:0070814]; phosphorylation [GO:0016310]; sulfate assimilation [GO:0000103]	GO:0000103; GO:0004020; GO:0005524; GO:0016310; GO:0070814	adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]	
Q88X63	METE_LACPL	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE lp_1375	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	768	lp_1375	86433	2.1.1.14	PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-methionine from L-homocysteine (MetE route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00172}.	FUNCTION: Catalyzes the transfer of a methyl group from 5-methyltetrahydrofolate to homocysteine resulting in methionine formation. {ECO:0000255|HAMAP-Rule:MF_00172}.	methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]		5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]	GO:0003871; GO:0008270; GO:0009086; GO:0032259	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]	
Q88XB8	METK_LACPL	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK lp_1301	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	395	lp_1301	42679	2.5.1.6	PATHWAY: Amino-acid biosynthesis; S-adenosyl-L-methionine biosynthesis; S-adenosyl-L-methionine from L-methionine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00086}.	FUNCTION: Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme. {ECO:0000255|HAMAP-Rule:MF_00086}.	one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; methionine adenosyltransferase activity [GO:0004478]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	GO:0000287; GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; methionine adenosyltransferase activity [GO:0004478]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00086}.
Q88XQ0	DNLJ_LACPL	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA lp_1145	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	679	lp_1145	74522	6.5.1.2		FUNCTION: DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA. {ECO:0000255|HAMAP-Rule:MF_01588}.	DNA repair [GO:0006281]; DNA replication [GO:0006260]		DNA ligase (NAD+) activity [GO:0003911]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	GO:0003911; GO:0006260; GO:0006281; GO:0046872	DNA ligase (NAD+) activity [GO:0003911]; metal ion binding [GO:0046872]	
Q88XQ4	XPT_LACPL	Xanthine phosphoribosyltransferase (XPRTase) (EC 2.4.2.22)	xpt lp_1139	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	195	lp_1139	21454	2.4.2.22	PATHWAY: Purine metabolism; XMP biosynthesis via salvage pathway; XMP from xanthine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01184}.	FUNCTION: Converts the preformed base xanthine, a product of nucleic acid breakdown, to xanthosine 5'-monophosphate (XMP), so it can be reused for RNA or DNA synthesis. {ECO:0000255|HAMAP-Rule:MF_01184}.	purine ribonucleoside salvage [GO:0006166]; xanthine metabolic process [GO:0046110]; XMP salvage [GO:0032265]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; xanthine phosphoribosyltransferase activity [GO:0000310]; purine ribonucleoside salvage [GO:0006166]; xanthine metabolic process [GO:0046110]; XMP salvage [GO:0032265]	GO:0000310; GO:0005737; GO:0006166; GO:0032265; GO:0046110	xanthine phosphoribosyltransferase activity [GO:0000310]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01184}.
Q88XU0	AROB_LACPL	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB lp_1086	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	359	lp_1086	38105	4.2.3.4	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 2/7. {ECO:0000255|HAMAP-Rule:MF_00110}.	FUNCTION: Catalyzes the conversion of 3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ). {ECO:0000255|HAMAP-Rule:MF_00110}.	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 3-dehydroquinate synthase activity [GO:0003856]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	GO:0000166; GO:0003856; GO:0005737; GO:0008652; GO:0009073; GO:0009423; GO:0046872	3-dehydroquinate synthase activity [GO:0003856]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00110}.
Q88XU9	TRUA_LACPL	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	truA lp_1076	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	262	lp_1076	29805	5.4.99.12		FUNCTION: Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs. {ECO:0000255|HAMAP-Rule:MF_00171}.	tRNA pseudouridine synthesis [GO:0031119]		RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]; tRNA pseudouridine synthesis [GO:0031119]	GO:0003723; GO:0031119; GO:0106029	RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]	
Q88XW0	RPOA_LACPL	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA lp_1062	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	314	lp_1062	34842	2.7.7.6		FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000255|HAMAP-Rule:MF_00059}.	DNA-templated transcription [GO:0006351]	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; DNA-templated transcription [GO:0006351]	GO:0000428; GO:0003677; GO:0003899; GO:0005737; GO:0006351; GO:0046983	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]	
Q88XW5	KAD_LACPL	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk lp_1058	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	219	lp_1058	24462	2.7.4.3	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00235}.	FUNCTION: Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. {ECO:0000255|HAMAP-Rule:MF_00235}.	AMP salvage [GO:0044209]; phosphorylation [GO:0016310]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; zinc ion binding [GO:0008270]; AMP salvage [GO:0044209]; phosphorylation [GO:0016310]	GO:0004017; GO:0005524; GO:0005737; GO:0008270; GO:0016310; GO:0044209	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; zinc ion binding [GO:0008270]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00235}.
Q88XZ2	RPOC_LACPL	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC lp_1022	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	1213	lp_1022	135318	2.7.7.6		FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000255|HAMAP-Rule:MF_01322}.	DNA-templated transcription [GO:0006351]	DNA-directed RNA polymerase complex [GO:0000428]	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	GO:0000287; GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0008270	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]	
Q88XZ3	RPOB_LACPL	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB lp_1021	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	1201	lp_1021	134502	2.7.7.6		FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000255|HAMAP-Rule:MF_01321}.	DNA-templated transcription [GO:0006351]	DNA-directed RNA polymerase complex [GO:0000428]	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; DNA-templated transcription [GO:0006351]	GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0032549	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]	
Q88XZ7	SYS2_LACPL	Serine--tRNA ligase 2 (EC 6.1.1.11) (Seryl-tRNA synthetase 2) (SerRS 2) (Seryl-tRNA(Ser/Sec) synthetase 2)	serS2 lp_1012	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	425	lp_1012	48136	6.1.1.11	PATHWAY: Aminoacyl-tRNA biosynthesis; selenocysteinyl-tRNA(Sec) biosynthesis; L-seryl-tRNA(Sec) from L-serine and tRNA(Sec): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00176}.	FUNCTION: Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec). {ECO:0000255|HAMAP-Rule:MF_00176}.	selenocysteine biosynthetic process [GO:0016260]; seryl-tRNA aminoacylation [GO:0006434]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; transferase activity [GO:0016740]; selenocysteine biosynthetic process [GO:0016260]; seryl-tRNA aminoacylation [GO:0006434]	GO:0004828; GO:0005524; GO:0005737; GO:0006434; GO:0016260; GO:0016740	ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; transferase activity [GO:0016740]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00176}.
Q88Y41	AZOR2_LACPL	FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)	azoR2 lp_0955	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	209	lp_0955	23634	1.6.5.-; 1.7.1.17		FUNCTION: Quinone reductase that provides resistance to thiol-specific stress caused by electrophilic quinones. {ECO:0000255|HAMAP-Rule:MF_01216}.; FUNCTION: Also exhibits azoreductase activity. Catalyzes the reductive cleavage of the azo bond in aromatic azo compounds to the corresponding amines. {ECO:0000255|HAMAP-Rule:MF_01216}.			electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor [GO:0016652]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]	GO:0009055; GO:0010181; GO:0016652; GO:0016655	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor [GO:0016652]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]	
Q88Y74	GUAA_LACPL	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA lp_0914	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	518	lp_0914	57457	6.3.5.2	PATHWAY: Purine metabolism; GMP biosynthesis; GMP from XMP (L-Gln route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00344}.	FUNCTION: Catalyzes the synthesis of GMP from XMP. {ECO:0000255|HAMAP-Rule:MF_00344}.	glutamine metabolic process [GO:0006541]		ATP binding [GO:0005524]; GMP synthase activity [GO:0003921]; glutamine metabolic process [GO:0006541]	GO:0003921; GO:0005524; GO:0006541	ATP binding [GO:0005524]; GMP synthase activity [GO:0003921]	
Q88YC0	PEPX_LACPL	Xaa-Pro dipeptidyl-peptidase (EC 3.4.14.11) (X-Pro dipeptidyl-peptidase) (X-prolyl-dipeptidyl aminopeptidase) (X-PDAP)	pepX lp_0857	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	813	lp_0857	91548	3.4.14.11		FUNCTION: Removes N-terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. {ECO:0000255|HAMAP-Rule:MF_00698}.	proteolysis [GO:0006508]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; aminopeptidase activity [GO:0004177]; dipeptidyl-peptidase activity [GO:0008239]; serine-type peptidase activity [GO:0008236]; proteolysis [GO:0006508]	GO:0004177; GO:0005737; GO:0006508; GO:0008236; GO:0008239	aminopeptidase activity [GO:0004177]; dipeptidyl-peptidase activity [GO:0008239]; serine-type peptidase activity [GO:0008236]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00698}.
Q88YD2	PPK1_LACPL	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk lp_0842	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	718	lp_0842	82227	2.7.4.1		FUNCTION: Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP). {ECO:0000255|HAMAP-Rule:MF_00347}.	phosphorylation [GO:0016310]; polyphosphate biosynthetic process [GO:0006799]	polyphosphate kinase complex [GO:0009358]	polyphosphate kinase complex [GO:0009358]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polyphosphate kinase activity [GO:0008976]; phosphorylation [GO:0016310]; polyphosphate biosynthetic process [GO:0006799]	GO:0005524; GO:0006799; GO:0008976; GO:0009358; GO:0016310; GO:0046872	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polyphosphate kinase activity [GO:0008976]	
Q88YD9	GLPK2_LACPL	Glycerol kinase 2 (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 2) (Glycerokinase 2) (GK 2)	glpK2 lp_0834	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	508	lp_0834	55952	2.7.1.30	PATHWAY: Polyol metabolism; glycerol degradation via glycerol kinase pathway; sn-glycerol 3-phosphate from glycerol: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00186}.	FUNCTION: Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn-glycerol 3-phosphate. {ECO:0000255|HAMAP-Rule:MF_00186}.	glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate metabolic process [GO:0006072]; phosphorylation [GO:0016310]		ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate metabolic process [GO:0006072]; phosphorylation [GO:0016310]	GO:0004370; GO:0005524; GO:0006071; GO:0006072; GO:0016310; GO:0019563	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]	
Q88YE7	GLMS_LACPL	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS glmS1 lp_0822	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	605	lp_0822	65467	2.6.1.16		FUNCTION: Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source. {ECO:0000255|HAMAP-Rule:MF_00164}.	carbohydrate derivative biosynthetic process [GO:1901137]; carbohydrate metabolic process [GO:0005975]; glutamine metabolic process [GO:0006541]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]; carbohydrate derivative biosynthetic process [GO:1901137]; carbohydrate metabolic process [GO:0005975]; glutamine metabolic process [GO:0006541]	GO:0004360; GO:0005737; GO:0005975; GO:0006541; GO:0097367; GO:1901137	carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00164}.
Q88YE8	GLMM_LACPL	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM lp_0820	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	451	lp_0820	48376	5.4.2.10		FUNCTION: Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate. {ECO:0000255|HAMAP-Rule:MF_01554}.	carbohydrate metabolic process [GO:0005975]		magnesium ion binding [GO:0000287]; phosphoglucosamine mutase activity [GO:0008966]; carbohydrate metabolic process [GO:0005975]	GO:0000287; GO:0005975; GO:0008966	magnesium ion binding [GO:0000287]; phosphoglucosamine mutase activity [GO:0008966]	
